genbank	locusName	geneID
XM_015922367.1	LOC107355787	107355787
XM_015924730.1	LOC107358100	107358100
XR_001561078.1	LOC107329687	107329687
XM_015897116.1	LOC107332383	107332383
XM_015902288.1	LOC107337169	107337169
XM_015910700.1	LOC107345010	107345010
XM_015918514.1	LOC107352178	107352178
XR_001560936.1	LOC107329303	107329303
XM_015909929.1	LOC107344274	107344274
XM_015909167.1	LOC107343583	107343583
XM_015898011.1	LOC107333236	107333236
XM_015901387.1	LOC107336306	107336306
XM_015917563.1	LOC107351273	107351273
XM_015902470.1	LOC107337339	107337339
XR_001563357.1	LOC107339862	107339862
XM_015901296.1	LOC107336232	107336232
XM_015891837.1	LOC107327084	107327084
XR_001566051.1	LOC107351217	107351217
XM_015892357.1	LOC107327613	107327613
XM_015910727.1	LOC107345042	107345042
XR_001562004.1	LOC107333598	107333598
XR_001563044.1	LOC107338584	107338584
XM_015911068.1	LOC107345366	107345366
XM_015891721.1	LOC107326974	107326974
XM_015920031.1	LOC107353685	107353685
XR_001563347.1	LOC107339779	107339779
XM_015900583.1	LOC107335564	107335564
XM_015892970.1	LOC107328227	107328227
XM_015907241.1	LOC107341778	107341778
XM_015923498.1	LOC107356869	107356869
XM_015896448.1	LOC107331804	107331804
XM_015908872.1	LOC107343313	107343313
XM_015908923.1	LOC107343358	107343358
XM_015907431.1	LOC107341960	107341960
XM_015904274.1	LOC107339030	107339030
XM_015899377.1	LOC107334437	107334437
XM_015919977.1	LOC107353636	107353636
XM_015901397.1	LOC107336315	107336315
XR_001561252.1	LOC107330357	107330357
XM_015899254.1	LOC107334324	107334324
XM_015924564.1	LOC107357927	107357927
XM_015910737.1	LOC107345054	107345054
XM_015912823.1	LOC107346953	107346953
XM_015904718.1	LOC107339433	107339433
XR_001563076.1	LOC107338679	107338679
XM_015918223.1	LOC107351922	107351922
XM_015917975.1	LOC107351687	107351687
XM_015898806.1	LOC107333938	107333938
XM_015894505.1	LOC107329843	107329843
XM_015914258.1	LOC107348231	107348231
XR_001560573.1	LOC107327903	107327903
XR_001561000.1	LOC107329424	107329424
XR_001562616.1	LOC107336435	107336435
XM_015895345.1	LOC107330783	107330783
XM_015903141.1	LOC107337902	107337902
XM_015906911.1	LOC107341483	107341483
XM_015899421.1	LOC107334486	107334486
XM_015908808.1	LOC107343236	107343236
XM_015913125.1	LOC107347227	107347227
XR_001565321.1	LOC107348407	107348407
XM_015909246.1	LOC107343664	107343664
XM_015904246.1	LOC107339002	107339002
XM_015895813.1	LOC107331246	107331246
XM_015923897.1	LOC107357259	107357259
XM_015907340.1	LOC107341864	107341864
XM_015918594.1	LOC107352268	107352268
XM_015894519.1	LOC107329865	107329865
XM_015893613.1	LOC107328873	107328873
XM_015892356.1	LOC107327609	107327609
XM_015914756.1	LOC107348696	107348696
XR_001562897.1	LOC107337927	107337927
XM_015900680.1	LOC107335647	107335647
XM_015922439.1	LOC107355819	107355819
XM_015917969.1	LOC107351676	107351676
XM_015915204.1	LOC107349106	107349106
XM_015917498.1	LOC107351201	107351201
XM_015913385.1	LOC107347457	107347457
XM_015916234.1	LOC107350024	107350024
XM_015916972.1	LOC107350736	107350736
XR_001561076.1	LOC107329682	107329682
XM_015915385.1	LOC107349268	107349268
XM_015895351.1	LOC107330787	107330787
XM_015913006.1	LOC107347133	107347133
XM_015909053.1	LOC107343484	107343484
